Date,PFE,UTX,DIS,V,BA,PG,JNJ,KO,UNH,MCD,WMT,NKE,MSFT,HD,AAPL,MMM,CSCO,VZ,IBM,MRK,GE,TRV,INTC,GS,AXP,JPM,DD,XOM,CAT,CVX,^DJI
2008-03-19,14.235064000000001,55.336282,27.676392,13.2463,57.847784999999995,51.299456,48.913729,22.773572,31.803365000000003,40.258164,40.728778999999996,13.620042000000002,22.75982,21.193626000000002,16.799986999999998,62.667861,20.582508999999998,20.612661,95.13722800000001,30.103903999999996,25.559,36.862384999999996,15.728782999999998,148.57121999999998,35.768696999999996,34.065335,31.641957,66.034527,56.482709,59.105627,12099.660156
2008-03-20,14.22125,55.537475,28.261104,15.086715,58.911023,52.479627,49.290684999999996,23.183770000000003,31.597606,40.82835,42.693835,14.818376,23.205154999999998,22.156972,17.266402,61.49289,20.83485,21.193548999999997,96.26807099999999,30.362996999999996,26.923488,37.958488,16.221006,160.297003,39.158206,36.872696999999995,31.628039,66.480336,56.551653,60.058361,12361.320312
2008-03-24,14.235064000000001,56.60782,28.385135,14.003567000000002,60.084516,52.933537,48.92127,23.236944,31.946503000000003,41.841183,43.014661,15.217087,23.197203,23.104526999999997,18.077444,62.013344999999994,21.566634,21.692289000000002,96.861963,30.986221999999998,26.858853999999997,37.879058,16.504407,159.627723,40.376045,37.337915,32.470062,67.223349,58.244678,60.635778,12548.639648
2008-03-25,14.352481,56.462967000000006,28.420572999999997,14.828823000000002,59.777359999999994,52.608233999999996,48.664943,23.324301000000002,31.56182,42.163788000000004,42.549463,15.060687,23.173345,22.709713,18.265304999999998,62.281463,21.659159,21.651216,95.97519,31.280327000000003,26.765494,37.934657,16.608819,160.297003,40.461208,36.944886,32.915428999999996,66.636758,58.711983999999994,61.018315,12532.599609
2008-03-26,14.290319,56.020338,28.137075,14.995281,60.09239399999999,52.683884,48.778025,23.22555,30.506180999999998,41.713639,42.429155,14.598094,22.712104999999998,22.235935,18.793908,62.02911999999999,20.843262,21.205282999999998,95.11282299999999,31.301337,26.664953000000004,37.76786,16.303044,156.593646,38.630193,35.380784000000006,32.588364,67.465811,59.263558999999994,61.321456000000005,12422.860352
2008-03-27,14.200529000000001,55.859386,27.800421000000004,14.749111,58.454225,52.509889,48.717717,23.28632,30.416721000000003,41.601104,42.004059999999996,14.534213000000001,22.306531,21.943773999999998,18.170728,61.398258999999996,20.338582000000002,21.099667999999998,93.981974,31.357356,26.449508,37.696375,15.728782999999998,150.04363,38.178827000000005,34.378155,32.289134000000004,67.418879,59.010753,60.917267,12302.459961
2008-03-28,14.159088,55.167280000000005,27.463769,14.713942999999999,57.86354,52.532582999999995,48.385994000000004,23.145788,30.774565999999997,41.623611,41.803544,14.507779000000001,22.195198,21.620025,18.528312,61.469228,20.254468,21.035124,93.209099,31.168287,26.291514000000003,37.664603,15.505045999999998,146.750771,36.748079,34.257838,32.316969,66.652404,59.056716,60.98944300000001,12216.400391
2008-03-31,14.456083999999999,55.38456600000001,27.800421000000004,14.620164,58.572363,53.009187,48.906194,23.119201999999998,30.765612,41.841183,42.2527,14.979182000000002,22.568960999999998,22.085905,18.591796,62.415518999999996,20.26288,21.387176,93.672825,26.574625,26.578772999999998,38.006142,15.795904,147.589604,37.233511,34.450344,32.53965,66.15184599999999,59.976009,61.610165,12262.889648
2008-04-01,14.766893,57.33211800000001,28.269963,14.444329000000002,59.761605,53.818661,49.660105,23.335695,32.4579,42.696462,43.37559,15.325025,23.459632,23.286141,19.37304,64.12671999999999,21.011487,22.27656,94.771125,26.833718,27.598549,40.150690000000004,16.385081,157.825125,40.103522,37.698863,33.22858,68.06021899999999,61.270678000000004,62.606203,12654.360352
2008-04-02,14.856682999999999,57.283834,27.959888,14.610786,60.525558999999994,53.319362,49.237911,22.963478,32.198236,42.5089,43.680372,14.972574,23.18925,23.025564000000003,19.108738,63.803408,20.994664,22.376773,93.40435,25.979408,27.304107000000002,39.666181,16.295586,157.834044,39.728804,37.391581,33.987096,69.233401,60.144546,63.161968,12608.919922
2008-04-03,14.739266,56.94583000000001,27.933312,15.356329999999998,59.966378000000006,53.311795,49.207754,23.00146,32.368362,42.193799,44.057342999999996,15.177437,23.062011,23.072941,19.642523,63.21986,20.380638,22.441614,94.388752,26.861728999999997,27.174840000000003,39.229329,16.35525,157.530641,39.754352000000004,37.423925,34.154109000000005,69.006591,59.041396999999996,63.313539,12626.030273
2008-04-04,14.746173,57.726462,27.676392,15.117194,59.580465000000004,53.410141,49.554558,22.883718,32.681746999999994,41.803671,43.63225,15.091527,23.18925,22.733401999999998,19.832977,63.495858999999996,20.515219000000002,22.011292,94.17723199999999,28.010144,26.973758,39.157844,16.310502,156.522255,39.26892,36.849790000000006,34.446382,69.405469,59.623615,63.551724,12609.419922
2008-04-07,14.835962,57.774747,27.924452000000002,15.248485,59.052788,53.342057,49.863659000000006,22.929295,32.833962,41.751154,43.495898,14.721453,23.18925,22.504409,20.197039,63.235634999999995,20.13671,22.046661999999998,94.624684,28.556340999999996,26.758311,39.856809000000005,16.221006,159.49385900000001,39.643638,36.825532,34.091478,69.546251,59.17929,63.710508,12612.429688
2008-04-08,14.504432000000001,57.782796,27.525784,15.963548999999999,59.084286,53.44796899999999,49.999363,22.982469000000002,34.096465,41.916206,43.672353,14.655367000000002,22.863201,22.251728,19.801882,62.991172999999996,20.153532000000002,21.915466000000002,94.592141,28.640373999999998,26.535686,38.82425,15.721325,159.64556100000001,39.575509000000004,36.275655,34.418546,70.08591700000001,59.439753,64.43949599999999,12576.44043
